total_self_citing_rate,Reference_count_of_each_paper_published,two_years_self_citing_rate,three_years_self_citing_rate,average_pub_rate,incoming_citations,outgoing_references,total_other_cited_rate,two_years_other_cited_rate,three_years_other_cited_rate
0.557848195,0.008862928,0.543522727,0.522909175,0.040207817,0.030800672,0.020201526,0.935630443,0.692857143,0.800393314
0.009948416,0.093660436,0.031022727,0.021923211,0.326896389,0.169204186,0.614599799,0.734191594,0.826857143,0.835299902
0.053979366,0.050708723,0.057840909,0.051734138,0.377401324,0.562198135,0.728831582,0.764104506,0.875857143,0.85840708
0.847273397,0.106510903,0.943636364,0.934926343,0.012456925,0.061077416,0.039387273,0.772813328,0.342285714,0.490003278
0.621775976,0.033021807,0.362840909,0.394269806,0.047208054,0.073488592,0.095263315,0.772434684,0.554571429,0.510816126
0.324981577,0.003208723,0.125113636,0.22526389,0.02178535,0.024818881,0.028420109,0.863687997,0.365142857,0.54949197
0.066507001,0.005989097,0.189431818,0.100916367,0.002472229,0.020807889,0.007379342,0.987504733,0.970285714,0.968534907
0.879145173,0.131425234,0.601590909,0.6305533,0.006644238,0.078325376,0.068677857,0.292313518,0.331142857,0.254178958
0.754605748,0.036347352,0.424204545,0.433012412,0.022019732,0.026133903,0.016028409,0.926542976,0.794857143,0.895280236
0.065217391,0.020833333,0.195454545,0.159378262,0.069409855,0.114046106,0.040325647,0.847406285,0.784571429,0.828416912
0.086956522,0.000319315,0.040568182,0.109848045,0.043145399,0.083377283,0.016919254,0.952669443,0.975857143,0.942150115
0.006632277,0.012172897,0.0025,0.004523837,0.01215009,0.187368151,0.271425079,0.94131011,0.993571429,0.98820059
0.461495947,0.050623053,0.38625,0.421760817,0.011415217,0.049311608,0.021251256,0.703142749,0.555142857,0.597836775
0.321112749,0.071394081,0.806477273,0.479410741,0.005433962,0.020394993,0.009592873,0.807269973,0.682571429,0.766961652
0.316507001,0.042733645,0.276363636,0.240227352,0.069034843,0.061094765,0.075964855,0.442635365,0.74,0.71451983
0.073323508,0.007079439,0.073295455,0.074817307,0.027207387,0.080146977,0.022404193,0.907610754,0.890142857,0.904293674
0.197310243,0.042850467,0.153977273,0.150794571,0.154146264,0.24865028,0.587908417,0.586141613,0.848142857,0.835791544
0.085482682,0.093107477,0.225,0.141050922,0.051304761,0.081441181,0.052997094,0.631578947,0.672714286,0.739265814
0.116433309,0.059042056,0.115340909,0.096972509,1,1,1,0.805755396,0.864857143,0.847427073
0.943072955,0.083364486,0.340454545,0.654332444,0.034904059,0.110316161,0.112299356,0.148049981,0.351142857,0.142084562
0.028924097,0,0,0.033174806,0.000938693,0.004420419,0.036618322,0.872396819,1,0.971320878
0.118091378,0.037009346,0.386818182,0.351583343,0.046374665,0.034256509,0.018494527,0.821658463,0.530285714,0.539823009
0.278371408,0.056409657,0.555568182,0.497390094,0.042103728,0.095233304,0.113571797,0.793260129,0.515571429,0.539167486
0.071296979,0.006105919,0.072159091,0.111355991,0.013138772,0.019614306,0.032765692,0.915940931,0.957714286,0.931989512
0.104274134,0.008200935,0.2525,0.165758033,0.00701925,0.020464387,0.00490915,0.930329421,0.714285714,0.784333006
0.485998526,0.051923676,0.749772727,0.625217492,0.020873846,0.114046106,0.071130395,0.502461189,0.312571429,0.473779089
0.178887251,0.002359813,0.113636364,0.082821018,0.003831648,0.003105396,0.031995709,0.846648997,0.890142857,0.939364143
0.004605748,0.007788162,0.005340909,0.007191741,0.006701315,0.184207239,0.079560825,0.960620977,0.987142857,0.986070141
0.630619013,0.10876947,0.361363636,0.390789932,0.024410434,0.063533975,0.084592194,0.603559258,0.511285714,0.584562439
0.072033898,0.050560748,0.164090909,0.109152071,0.065040139,0.079456504,0.09465086,0.71601666,0.757142857,0.803343166
0.403279293,0.001417445,0.081136364,0.119939682,0.009681836,0.012955921,0.023018007,0.923135176,0.947142857,0.926581449
0.460943257,0.026775701,0.352159091,0.426516645,0.013831982,0.03179995,0.068372308,0.569859902,0.575285714,0.597345133
0.026344878,0.004213396,0.012386364,0.01473147,0.005007836,0.085053156,0.054211141,0.960242332,0.986,0.986889544
0.452100221,0.014602804,0.464886364,0.458531493,0.039604535,0.009042081,0.022245308,1,1,1
0.498341931,0.060576324,0.795454545,0.632757221,0.004644187,0.076000666,0.049655069,0.285119273,0.444428571,0.321861685
0.166359617,0,0,0.231991648,0.003831648,0.001266446,0.009302262,0.943960621,1,0.947066536
0.281319086,0.017437695,0.224318182,0.199396822,0.018805354,0.047493477,0.059499172,0.614161303,0.837714286,0.845296624
0.301952837,0.014345794,0.353522727,0.444264006,0.009831841,0.024492727,0.010375078,0.803483529,0,0
0.06816507,0.003909657,0.021931818,0.038742605,0.022002669,0.153246961,0.059125723,0.896630064,0.789,0.836938709
0.345983788,0.061549844,0.370340909,0.323280362,0.050483147,0.0336389,0.064047095,0.658841348,0.714285714,0.737790888
0.042004422,0,0,0.051502146,0.019639831,0.034877588,0.019145007,0.946232488,1,0.933136676
0.111090641,0.008948598,0.210454545,0.15694235,0.022718605,0.015700466,0.028029007,0.911397198,0.869,0.906424123
0.343404569,0.081806854,0.238863636,0.25194293,0.156247269,0.173319269,0.598823977,0.560015146,0.808,0.766797771
0.006632277,0.02211838,0.010909091,0.008699687,0.022228089,0.26088797,0.145236155,0.932222643,0.969714286,0.969845952
0.152726603,0.010864486,0.206590909,0.141862893,0.054533277,0.10261686,0.032966675,0.859522908,0.810571429,0.845132743
0.297162859,0.019470405,0.568181818,0.309360863,0.005706708,0.010669378,0.013309704,0.921999243,0.743571429,0.859062602
0.080692704,0.00546729,0.110909091,0.108108108,0.022794207,0.12781047,0.050393818,0.850814086,0.942857143,0.911996067
0.126381724,0.012149533,0.085909091,0.093260643,0.040470325,0.075351829,0.016388278,0.962892844,0.927714286,0.935758768
0.108327192,0.00228972,0.227272727,0.210880408,0.020562961,0.004375312,0.006354056,0.860658841,0.920571429,0.882989184
0.094141489,0.008652648,0.340909091,0.14499478,0.011941284,0.022594793,0.040566012,0.841347974,0.835142857,0.868895444
0.224944731,0.068613707,0.232272727,0.179793527,0.005706708,0.124694665,0.021433227,0.782658084,0.625142857,0.709439528
0.527450258,0.023239875,0.397386364,0.375014499,0.01899286,0.010693666,0.021912599,0.772056039,0.725857143,0.778105539
0.059137804,0.009735202,0.111590909,0.079689131,0.034611474,0.079564065,0.009178685,0.958727755,0.965714286,0.96935431
0.192704495,0.044641745,0.339431818,0.289061594,0.023120318,0.034534086,0.037040658,0.812570996,0.706,0.775483448
0.008290346,0.031791277,0.015454545,0.009859645,0.020463432,0.253261533,0.127522475,0.924649754,0.968285714,0.970501475
0.299373618,0.010031153,0.340909091,0.338011832,0.030803677,0.039176567,0.048014612,0.849299508,0.776142857,0.766633891
0.035740604,0.010521807,0.015,0.01554344,0.006269226,0.073762699,0.022719248,0.971601666,0.977428571,0.975090134
0.056558585,0.01038162,0.137727273,0.07945714,0.008723868,0.035581941,0.017041473,1,1,1
0.303979366,0.034890966,0.304431818,0.285813711,0.036645202,0.041993977,0.050681713,0.848920863,0.771428571,0.791215995
0.043294031,0,0,0.043730426,0.001385932,0.038656109,0.052605991,0.901552442,1,0.976728941
0.197862933,0.112492212,0.338636364,0.263774504,0.052695718,0.149104119,0.061268638,0.767133661,0.789571429,0.768436578
0.053242447,0.020397196,0.098409091,0.077137223,0.033182603,0.069002248,0.042459056,0.855736463,0.899428571,0.878892167
0.005526898,0.101479751,0.004545455,0.003711866,0.005127127,0.090521429,0.13514354,0.845513063,0.888571429,0.904785316
0.016396463,0,0,0.042918455,0.003981653,0.014277883,0.012511203,0.919348732,1,0.941494592
0.077929256,0.004470405,0.052386364,0.098016471,0.016207046,0.013490257,0.016056927,0.872396819,0.836,0.823336611
0.405490052,0.010545171,0.492386364,0.5305649,0.011653312,0.026650891,0.013287976,0.823930329,0.656142857,0.445099967
0.005711127,0.070537383,0.015795455,0.01194757,0.02226349,0.366877394,0.16887884,0.938280954,0.933142857,0.946902655
0.051400147,0,0,0,0.009148006,0.015506162,0.026107445,0.84437713,1,1
0.011422255,0.089244548,0.032954545,0.023083169,0.342010987,0.22933437,0.736250306,0.649753881,0.775,0.789249426
0.011790715,0.004688474,0.043409091,0.021459227,0.035349723,0.029659135,0.011771096,0.975766755,0.972285714,0.983939692
0.540714812,0.059057632,0.492386364,0.44055214,0.022457259,0.069897435,0.024549825,0.755395683,0.617714286,0.641756801
